Date	Heure	Vm	Vc	V. Moy.	T	Tu	Cde TC	Am	Ac	A. moy.	Coef. X	Tc	Tcf	Tf
12/01/2011	15:52	2,618933	150	3,833231	63,919211	65	5	3,555109	50	0,023808	5	64,941484	64,960775	66,388828
12/01/2011	15:53	-0,286761	150	3,796114	63,890535	65	5	-2,905694	50	-0,002583	5	64,947052	64,964508	62,613553
12/01/2011	15:53	3,557851	150	3,793986	64,24632	65	5	3,844611	50	0,031767	5	64,952091	64,967886	67,207305
12/01/2011	15:54	8,04311	150	3,831589	65,050631	65	0	4,485259	50	0,071178	5	64,95665	64,970942	70,061979
12/01/2011	15:54	7,30505	150	3,862058	65,781136	65	0	-0,73806	50	0,064079	5	64,960775	64,973707	68,407932
12/01/2011	15:55	5,700541	150	3,878045	66,35119	65	0	-1,604509	50	0,04957	5	64,964508	64,976209	67,989603
12/01/2011	15:55	6,464647	150	3,900343	66,997655	65	0	0,764106	50	0,05573	5	64,967886	64,978473	69,889156
12/01/2011	15:56	5,929646	150	3,917688	67,59062	65	0	-0,535001	50	0,050681	5	64,970942	64,980522	69,748477
12/01/2011	15:56	4,719773	150	3,924485	68,062597	65	0	-1,209873	50	0,039998	5	64,973707	64,982375	69,466557
12/01/2011	15:57	6,118044	150	3,942918	68,674401	65	0	1,398271	50	0,051412	5	64,976209	64,984052	71,680928
12/01/2011	15:57	3,564028	150	3,939761	69,030804	65	0	-2,554016	50	0,0297	5	64,978473	64,98557	69,434809
12/01/2011	15:58	2,007962	150	3,923796	69,2316	65	0	-1,556067	50	0,016595	5	64,980522	64,986943	69,412358
12/01/2011	15:58	4,656193	150	3,929799	69,69722	65	0	2,648231	50	0,038166	5	64,982375	64,988186	72,618989
12/01/2011	15:59	4,729709	150	3,936302	70,17019	65	0	0,073516	50	0,038453	5	64,984052	64,98931	72,09148
12/01/2011	15:59	1,975827	150	3,920492	70,367773	65	0	-2,753882	50	0,015934	5	64,98557	64,990327	70,056552
12/01/2011	16:00	3,200967	150	3,914736	70,68787	65	0	1,22514	50	0,025608	5	64,986943	64,991248	72,458313
12/01/2011	16:00	2,690056	150	3,905016	70,956876	65	0	-0,510911	50	0,02135	5	64,988186	64,992081	71,828533
12/01/2011	16:01	2,734341	150	3,895798	71,23031	65	0	0,044285	50	0,02153	5	64,98931	64,992834	72,34176
12/01/2011	16:01	-1,295971	150	3,855238	71,100713	65	0	-4,030312	50	-0,010125	5	64,990327	64,993516	68,9702
12/01/2011	16:02	1,252509	150	3,835061	71,225963	65	0	2,548479	50	0,009709	5	64,991248	64,994133	72,746359
12/01/2011	16:02	0,424489	150	3,808826	71,268412	65	0	-0,828019	50	0,003265	5	64,992081	64,994692	71,107
12/01/2011	16:03	-1,222569	150	3,770419	71,146155	65	0	-1,647058	50	-0,009333	5	64,992834	64,995197	69,998305
12/01/2011	16:03	-0,163249	150	3,740618	71,129831	65	0	1,05932	50	-0,001237	5	64,993516	64,995654	71,488259
12/01/2011	16:04	3,075553	150	3,735618	71,437386	65	0	3,238802	50	0,023124	5	64,994133	64,996067	73,963128
12/01/2011	16:04	0,730746	150	3,713193	71,510461	65	0	-2,344808	50	0,005453	5	64,994692	64,996442	70,864836
12/01/2011	16:05	0,398351	150	3,688639	71,550296	65	0	-0,332394	50	0,002951	5	64,995197	64,99678	71,576678
12/01/2011	16:05	-1,941042	150	3,647244	71,356191	65	0	-2,339393	50	-0,014272	5	64,995654	64,997087	69,644018
12/01/2011	16:06	-1,365311	150	3,610656	71,21966	65	0	0,575731	50	-0,009966	5	64,996067	64,997364	70,903828
12/01/2011	16:06	-0,423167	150	3,581425	71,177344	65	0	0,942144	50	-0,003066	5	64,996442	64,997615	71,384934
12/01/2011	16:07	1,090792	150	3,563507	71,286423	65	0	1,513959	50	0,007847	5	64,99678	64,997842	72,328323
12/01/2011	16:07	-0,318972	150	3,535775	71,254526	65	0	-1,409764	50	-0,002278	5	64,997087	64,998047	70,563032
12/01/2011	16:08	0,380123	150	3,513395	71,292538	65	0	0,699095	50	0,002696	5	64,997364	64,998233	71,724225
12/01/2011	16:08	-1,917731	150	3,475147	71,100765	65	0	-2,297854	50	-0,013505	5	64,997615	64,998401	69,414531
12/01/2011	16:09	-2,788495	150	3,431346	70,821915	65	0	-0,870764	50	-0,0195	5	64,997842	64,998553	69,358212
12/01/2011	16:09	-2,971633	150	3,386881	70,524752	65	0	-0,183138	50	-0,020636	5	64,998047	64,998691	69,262844
12/01/2011	16:10	-1,077379	150	3,356093	70,417014	65	0	1,894254	50	-0,00743	5	64,998233	64,998816	70,743764
12/01/2011	16:10	0,527759	150	3,33672	70,46979	65	0	1,605138	50	0,003615	5	64,998401	64,998928	71,322949
12/01/2011	16:11	0,856171	150	3,319846	70,555407	65	0	0,328412	50	0,005824	5	64,998553	64,99903	71,029241
12/01/2011	16:11	-1,926434	150	3,284398	70,362764	65	0	-2,782605	50	-0,013016	5	64,998691	64,999123	68,479148
12/01/2011	16:12	-3,36337	150	3,239782	70,026427	65	0	-1,436936	50	-0,022573	5	64,998816	64,999206	68,106304
12/01/2011	16:12	-3,140249	150	3,197249	69,712402	65	0	0,223121	50	-0,020935	5	64,998928	64,999282	68,54555
12/01/2011	16:13	-0,838379	150	3,170523	69,628564	65	0	2,30187	50	-0,005552	5	64,99903	64,99935	70,21396
12/01/2011	16:13	-3,673538	150	3,125496	69,26121	65	0	-2,835159	50	-0,024168	5	64,999123	64,999412	66,657731
12/01/2011	16:14	-2,54393	150	3,088441	69,006817	65	0	1,129608	50	-0,016627	5	64,999206	64,999468	68,441088
12/01/2011	16:14	-3,35146	150	3,046623	68,671671	65	0	-0,80753	50	-0,021763	5	64,999282	64,999518	67,008075
12/01/2011	16:15	-1,885452	150	3,014803	68,483126	65	0	1,466008	50	-0,012164	5	64,99935	64,999564	68,315348
12/01/2011	16:15	-2,671568	150	2,978352	68,215969	65	0	-0,786116	50	-0,017125	5	64,999412	64,999606	66,832895
12/01/2011	16:16	-2,191974	150	2,94542	67,996772	65	0	0,479595	50	-0,013962	5	64,999468	64,999643	67,31182
12/01/2011	16:16	-3,24649	150	2,906231	67,672123	65	0	-1,054517	50	-0,020547	5	64,999518	64,999677	65,95172
12/01/2011	16:17	-1,114307	150	2,880945	67,560692	65	0	2,132183	50	-0,007008	5	64,999564	64,999708	67,967842
12/01/2011	16:17	-1,636873	150	2,852708	67,397005	65	0	-0,522565	50	-0,01023	5	64,999606	64,999736	66,533229
12/01/2011	16:18	-2,834443	150	2,817384	67,11356	65	0	-1,19757	50	-0,017605	5	64,999643	64,999761	65,500755
12/01/2011	16:18	-4,212284	150	2,773991	66,692332	65	0	-1,377842	50	-0,026002	5	64,999677	64,999784	64,456282
12/01/2011	16:19	-0,475322	150	2,754057	66,6448	65	0	3,736963	50	-0,002916	5	64,999708	64,999804	67,949456
12/01/2011	16:19	-2,160066	150	2,724093	66,428793	65	0	-1,684745	50	-0,013171	5	64,999736	64,999823	64,890869
12/01/2011	16:20	-3,359378	150	2,687223	66,092855	65	0	-1,199312	50	-0,02036	5	64,999761	64,99984	64,26938
12/01/2011	16:20	-2,550673	150	2,65567	65,837788	65	0	0,808705	50	-0,015365	5	64,999784	64,999855	65,141001
